country,year,basic_water_access,basic_sanit_access,improved_water_access,improved_sanit_access,limited_water_access,limited_sanit_access,unimproved_water_access,unimproved_sanit_access,agricultural_land,co2_emissions,arable_land,total_sch_adult,childmort_ihme,conf_terr_deaths,dtp_vax_pct,fertility,humanrights_fsi,gdppc_ppp,gdppc_ppp_current,hdi_undp,humanrights_fariss,cell_subscribers_per100,childmort_,no_water_access,no_sanit_access,gdppc_output_pwt,docs_perk,pop_est,pop_total,agricultural_employment,tax_rev_pct_gdp_total,tax_rev_pct_gdp,urbanization,area_sqmi,ever_colonized,ncolonizers,col1start,col1end,col1length,totalyrs_colonized,modern_sovereignty_current_name,state_age,fmr_soviet,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain,fertilit,fh_pr,fh_cl,fh_total,forestco,gdppc_wb2005,gdppc_imf2005,nnbrs,popdens,populati,cow_code_n,un_code_n,pts_a,pts_s,na_status_a,na_status_h,na_status_s,rugged,rugged_popw,rugged_slope,rugged_lsd,rugged_pc,land_area,lat,lon,soil,desert,tropical,dist_coast,near_coast,gemstones,q_rule_law,cont_africa,cont_asia,cont_europe,cont_oceania,cont_north_america,cont_south_america,legor_gbr,legor_fra,legor_soc,legor_deu,legor_sca,colony_esp,colony_gbr,colony_fra,colony_prt,colony_oeu,africa_region_n,africa_region_s,africa_region_w,africa_region_e,africa_region_c,slave_exports,pop_1400,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,urban_pop_pct,urban_pop_growth,pop_growth,under5mortality,primary_sch_completion,gender_parity_school,ag_forest_fish_pct_gdp,no2_emissions_change,no2_emissions_total,methane_emissions_change,methane_emissions_total,greenhouse_emissions_change,greenhouse_emissions_total,other_greenhouse_change,other_greenhouse_total,co2_solidfuel_pct,co2_solidfuel_total,co2_per_gdp,co2_per_gdp2,co2_emissions_percap,co2_liquidfuel_pct,co2_liquidfuel_total,co2_emissions_total,co2_emissions_pergdp,co2_emissions_gas_pct,co2_emissions_gas_total,renewable_energy_consumption,renewable_electricity_output,electricity_access,fdi_inflows,grain_yield,forest_area_pct,forest_area_total,pct_arable_land,pct_agricultural_land,agricultural_land_total
Argentina,2020,99.0238575,95.41770247,99.0238575,97.40155752,0,1.983855047,0.613022724,2.598442482,148768000,156978063,14.3238729998648,9.9,1.2060000000000002,0,86,2.233,4.4,19686.523658911,20767.6105001703,0.825,0.784109255,125.842106,0.9300000000000002,0.363119771,1.578222119,16466.732,3.9901,45195777,45376763,0.059999999,28.645779,5.142765,92.111,1100,1,1,1580,1819,239,239,1861,201,0,0,0,0,0,0,0,0,1,2.308,2,2,4,10.34066672,6830,6891,5,15.0771516,44271041,160,32,2,2,0,0,0,0.775,0.22,2.268,0.226,9.407,273669,-35.396,-65.17,35.678,0,0,0.352,13.0167,0,0.033,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,276632,37.3,1.5,38.6,3.4,91.87,1.147602159,1.015808349,10.4,102.4454803,1.018970013,6.140205872,37.85740614,53101.3632,-13.32892646,88476.432,42.67047235,380295.3204,100.453613,48642.33572,2.85416442,5823.196,0.252522162,0.238975967,4.781507775,46.16449189,94186.895,204024.546,0.459818105,47.39207017,96691.456,10.04007761,28.14006912,100,2.345693437,5404.6,9.798405818,268151.9922,14.323873,54.33571212,1487000
Armenia,2020,99.97118069,93.93674174,99.97118069,94.36178677,0,0.425045028,0.028819308,5.627529653,1677300,5890292,15.6515630488233,11.7,1.0550000000000002,0,92,1.76,6.8,12592.6353675009,13284.160830729,0.755,0.106262163,122.3487531,1.1800000000000002,0,0.010683577,10182.28,4.4023,2963234,2963234,24.049999239999998,22.670324,9.000079,63.313,11,0,0,0,0,0,0,1918,102,1,0,0,0,0,0,0,0,0,1.517,4,4,8,11.63329864,2374,2137,4,101.0375132,2930450,371,51,3,3,0,0,0,2.688,0.934,8.178,0.799,50.556,2820,40.294,44.938,30.148,0,0,0.348,0,0,-0.453,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105743,37.6,1.3,48.2,2.7,63.149,0.309165597,0.236306379,12.6,91.61158752,1.037870049,13.69586083,27.04308845,1022.809422,18.54787743,3425.678014,-50.18426544,12319.38961,511.5273899,3154.996747,0,0,0.238706657,0.225901575,1.898719374,15.51724138,858.078,5529.836,0.497148756,80.63660477,4459.072,15.79200384,28.33696628,100,2.045042712,1975.1,11.66842333,3322.000122,15.67966259,58.89708637,16768.00049
Aruba,2020,97.86902338,97.54348112,97.86902338,97.54348112,0,0,1.95993621,0.983355882,2000,753218,11.1111111111111,NA,NA,NA,NA,1.901,NA,38897.122666275,38897.122666275,NA,NA,135.13384,NA,0.171040409,1.473163002,29871.135,1.12,106766,106766,NA,22.658043,8.705513,43.697,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1.647,NA,NA,NA,2.33333326,21782,21228,NA,566.9222222,105264,NA,NA,NA,NA,NA,NA,NA,0.462,0.38,1.226,0.144,0,18,12.508,-69.97,21.324,0,100,0.001,100,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,NA,NA,NA,NA,43.411,0.725179011,0.453575639,NA,101.1805573,1.021559954,0.440397943,-45.11952743,6.48877182,52.83534078,23.195514,NA,616.928696,-33.33333333,143.9411145,0,0,0.232496052,0.220024129,8.410064178,100,872.746,872.746,0.340522976,0,0,6.726747566,14.85616144,100,3.245759206,NA,2.33333326,4.199999869,11.11111111,11.11111111,20
Australia,2020,99.96981182,99.99115238,99.96981182,99.99115238,0,0,0.030188179,0.008847618,358895000,391891928,4.02677060122049,12.9,0.417,0,95,1.806,2.3,48697.8370282475,52518.3244830382,0.939,1.753645266,110.6208823,0.36000000000000004,0,0,47392.621,3.6778,25499881,25687041,2.5599999429999998,29.395667,17.698839,86.241,2900,1,1,1829,1919,90,90,1901,101,0,0,1,0,0,0,0,0,0,1.833,1,1,2,16.07838798,40417,42194,3,2.90798641,24601860,900,36,2,1,0,0,0,0.143,0.183,0.405,0.045,0.685,768230,-25.733,134.487,14.248,10.889,14.68,0.336,20.9399,264154,1.773,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000,33,1.2,47.9,1.8,86.012,1.700488764,1.574848844,3.5,NA,0.937179983,2.597155885,-13.74697749,54247.47571,9.064866328,125588.1936,57.92847163,761686.2739,483.463359,164076.9229,45.22874225,163394.186,0.352370399,0.328257116,15.38876602,33.27141509,120196.926,361261.839,0.281300823,20.09805414,72606.6,9.18050296,13.63784109,100,4.053104701,2674.2,16.25827806,1250590,5.986463894,48.24194425,3710780
Austria,2020,100,99.97260464,100,99.97260464,0,0,0,0.027395359,2652830,60634876,16.0827678138633,12.1,0.381,0,85,1.554,2,51935.6038618156,55097.4612258328,0.908,2.275798607,119.7752968,0.35000000000000003,0,0,46103.27,5.1697,9006400,8917205,3.660000086,43.073051,12.534483,58.748,32,0,0,0,0,0,0,1919,101,0,0,0,0,0,0,0,0,0,1.47,1,1,2,46.77511454,42002,42052,8,101.6417364,8797566,305,40,1,1,0,88,0,3.513,1.152,11.095,1.008,54.307,8245,47.589,14.14,55.098,0,0,0.242,2.25634,0,1.853,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1250000,28.4,1.1,47.2,1.8,58.297,0.909572158,0.560750838,3.6,99.65672302,0.968400002,1.174818079,-28.66196048,3789.944637,-20.16577883,8006.813544,13.30618653,90460.21029,88.2496089,5304.626913,19.54281432,11474.043,0.15526215300000001,0.140776803,6.86986793,51.58328649,30285.753,58712.337,0.143592667,25.13896696,14759.675,34.39499175,76.49077927,100,2.467665011,6259.1,46.90571284,38708.00049,16.29230665,32.35667614,26701.69922
Azerbaijan,2020,96.04337613,96.12903013,97.08615731,98.81696699,1.04278118,2.687936856,2.913842688,1.0973257,4779500,37720462,25.3817117138916,10.7,3.824,0,94,2.044,7.7,13699.665590318,14451.9836966507,0.757,-0.397757013,106.9924534,2.04,0,0.085707314,14504.942,3.446,10139175,10110116,36,14.256314,4.282636,56.397,33,0,0,0,0,0,0,1920,100,1,0,0,0,0,0,0,0,0,1.97,7,6,13,12.5156675,4052,3467,7,110.9763389,9854033,373,31,3,3,0,0,0,1.672,0.534,5.08,0.49,27.713,8260.5,40.288,47.528,60.957,0,0,0.584,0,0,-1.007,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,226250,23.3,1.9,31.5,2.7,55.68,1.499198781,0.892098895,23,107.1721725,1.030290008,5.250936123,0.253364948,2672.568238,74.15336681,19955.36354,-27.60623717,56537.08178,354.9096619,4671.884255,0.019563729,7.334,0.233277636,0.220763786,3.931560609,31.04763768,11639.058,37487.741,0.647427732,56.5587401,21202.594,2.310757686,7.039857421,100,2.988947733,2941.5,14.09967334,11656.19995,24.18047659,57.73557518,47730
Bahamas,2020,98.8869605,94.93058233,98.8869605,98.24764548,0,3.31706315,1.113039503,1.529158779,14000,2337684,0.799200799200799,11.1,1.361,0,86,1.733,3.1,30764.1159665551,32453.5295740897,0.807,0.844839947,109.2494647,1.26,0,0.22319574,22026.313,2.0068,393248,393248,2.200000048,16.191899,0,83.245,5,1,1,1783,1973,190,190,1973,47,0,0,1,0,0,0,0,0,0,1.861,1,1,2,51.44855145,21132,20106,5,35.92177822,395361,31,44,2,2,0,88,0,0.055,0.1,0.144,0.017,0,1001,24.255,-76.61,13.924,0,100,0.003,100,0,1.063,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1276,44,3.7,49.9,5,83.025,1.131691081,1.010953344,7.2,98.74376678,1.05648005,1.001471785,119.4382933,130.927353,60.20402941,226.62462,35.38626796,4865.206767,-89.34066667,772.4569656,0.151745068,3.667,0.222205372,0.210285478,6.520069719,99.69650986,2409.219,2416.553,0.232076084,0,0,1.210512884,0,100,4.892204173,8817.8,51.44855145,5150,0.799200799,1.398601399,140
Bahrain,2020,100,100,100,100,0,0,0,0,8600,34960075,2.05128205128205,9.4,0.752,0,99,1.942,7.8,40933.3526644217,43181.2106255754,0.846,-0.373735987,115.7929212,0.6900000000000001,0,0,37616.391,0.9257,1701583,1701583,0.939999998,3.025819,0.207152,89.506,2,1,1,1861,1971,110,110,1971,49,0,0,1,0,0,0,0,0,0,2.035,7,6,13,0.704041777,21359,18393,7,1666.42901,1492584,692,48,3,3,0,0,0,0.231,0.163,0.627,0.063,0,71,26.025,50.565,0,0,0,0.002,100,0,0.457,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31897,51.2,4.9,55.4,5.9,89.287,5.034331591,4.921161372,7.3,100.8838425,1.005720019,0.288531253,80.84790603,131.2571496,87.68231183,3378.5256,92.65536823,32849.10573,-87.4015748,9603.18478,0,0,0.53492645,0.506231075,23.45540632,7.067633981,2214.868,31338.182,1.047299673,90.54528434,28375.246,0,0,100,1.464418972,NA,0.784061684,6.100000143,2.05655522,11.05398463,86.00000381
Bangladesh,2020,97.69796025,54.16469553,98.85438613,78.0139183,1.156425878,23.84922277,0.4626557,21.9860817,9202300,92841625,59.7088422831682,5.8,3.426,155,98,1.987,8,4818.09473660531,5082.68075036434,0.608,-1.422503477,101.5491558,3.08,0.682958174,0,3436.0527,0.5809,164689383,164689383,38.29999924,7.90054,2.621664,38.177,55,1,1,1857,1947,90,90,1947,73,0,0,1,0,0,0,0,0,0,2.144,5,5,10,11.05784762,620,644,2,1146.760221,164669751,771,50,4,4,0,0,0,0.186,0.065,0.502,0.053,1.817,13017,23.848,90.27,41.883,0,75.038,0.071,71.3844,0,-0.807,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9103705,33.6,2.3,35.4,2.9,36.632,3.185592834,1.050044649,32.4,118.5520401,1.117630005,13.0743171,64.69448133,26682.82158,20.72378052,105141.6,44.67096196,183300.5624,-86.98176446,-9405.990022,4.7948294,3509.319,0.154435126,0.146150671,0.47365761,20.81266597,15232.718,73189.653,0.497897856,62.80875795,45969.512,34.74706901,1.226889902,88,0.861499842,4411.2,10.95797822,14264.00024,59.64669249,70.63232666,91942.09961
Barbados,2020,98.51445042,98.09246231,98.78205099,100,0.267600576,1.907537688,1.217949005,0,10000,1086743,16.2790697674419,10.6,1.359,0,90,1.628,2.8,12870.0425037649,13576.8017995317,0.8,1.171229206,114.7377406,1.27,0,0.82469386,9272.5781,2.4843,287371,287371,2.6500000950000002,26.600115,7.895949,31.191,1,1,1,1627,1966,339,339,1966,54,0,0,1,0,0,0,0,0,0,1.796,1,1,2,14.65116323,12344,15043,8,658.1093023,285719,53,52,1,2,88,88,0,0.963,0.695,2.581,0.289,3.823,43,13.167,-59.555,30.588,0,100,0.002,100,0,0.76,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3403,46.8,3.9,45.7,5.2,31.147,0.104220958,0.142439723,12.4,98.21896362,1.01078999,1.379980349,-16.11091168,58.678815,-14.95202109,109.38786,28.4202694,1540.615709,-128.5714286,46.88873263,0,0,0.274451434,0.259728874,4.467476521,91.35446686,1162.439,1272.449,0.27820785,2.017291066,25.669,2.786358206,0,100,6.122977699,2865.4,14.65116323,63.00000191,16.27906977,23.25581395,100
Belarus,2020,96.53472608,97.90431818,99.90684563,99.54407061,3.37211955,1.639752434,0.093154368,0.455929388,8453000,57445417,28.1407035175879,12.3,0.734,0,98,1.727,8.1,19148.1751007952,20199.6984928506,0.808,-0.02901722,123.0082886,0.32000000000000006,0,0,16843.686,5.1905,9449321,9398861,11.06000042,34.610631,7.416336,79.483,80,0,0,0,0,0,0,1918,102,1,0,0,0,0,0,0,0,0,1.724,7,6,13,42.15613026,5328,5920,5,46.6865704,9498264,370,112,2,3,0,0,0,0.164,0.208,0.54,0.046,0,20748,53.542,28.054,50.611,0,0,0.598,0,0,-0.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,487364,23.9,1.4,31.1,2.1,78.595,0.452596435,-0.135674667,3.7,100.8925476,0.989269972,6.402244664,-30.98108603,13905.15018,-10.88318966,16619.66131,-40.86284581,109647.2388,-98.66797861,12276.32179,5.128205128,3256.296,0.373714918,0.353667508,6.701957705,29.29082929,18599.024,63497.772,0.983082497,61.16886117,38840.864,6.770869532,0.815679831,100,2.472072275,3358.7,42.6301065,86534.00391,28.00066795,42.03548913,85327.00195
